"","Anexo","cod_orgao","nom_orgao","mes","ano","pg_mes","lim_sq_sd","pg_sd","cred_sd","a_liq_sd","liq_a_pg_sd","nome_orgao","lim_pag"
"88","Anexo II","35000","MINISTERIO DAS RELACOES EXTERIORES",12,"2019",163679.740167751,15112.54632,1620635.02319874,39866.3758169388,9788.13382990605,6393.64891597828,"Ministério das Relações Exteriores",1638610
"89","Anexo II","36000","MINISTERIO DA SAUDE",2,"2019",1317944.91325,1071868.46687,2191514.85513,16334866.16596,7899848.63335,579233.20073,"Ministério da Saúde",3271128
"90","Anexo II","36000","MINISTERIO DA SAUDE",3,"2019",1263064.50604,647408.67817,3454579.36117,14750002.72221,7101190.41066,987695.56505,"Ministério da Saúde",4906692
"91","Anexo II","36000","MINISTERIO DA SAUDE",4,"2019",1722589.66882,393833.37582,5177169.02999,12074917.27455,7869499.26434,969824.49825,"Ministério da Saúde",6542256
"92","Anexo II","36000","MINISTERIO DA SAUDE",5,"2019",1467213.24208,342042.4146,6644382.27207,11421863.582,6842000.03682,1059378.5555,"Ministério da Saúde",8177820
"93","Anexo II","36000","MINISTERIO DA SAUDE",6,"2019",1410050.68498,478342.28024,8054432.95705,10275290.77311,6617856.10789,1008767.1297,"Ministério da Saúde",9813384
"94","Anexo II","36000","MINISTERIO DA SAUDE",7,"2019",3040420.30728,772263.40488,11094853.26433,6905430.00809,6495733.01103,1039919.79838,"Ministério da Saúde",11448948
"95","Anexo II","36000","MINISTERIO DA SAUDE",8,"2019",1639367.60743,494089.55037,12734220.87176,5475168.82169,6410574.88464,997551.56034,"Ministério da Saúde",13084512
"96","Anexo II","36000","MINISTERIO DA SAUDE",9,"2019",1329674.4091,553458.63167,14063895.28086,4180066.64243,6049022.73796,986808.47859,"Ministério da Saúde",14720076
"97","Anexo II","36000","MINISTERIO DA SAUDE",10,"2019",1236193.7658,638873.26189,15300089.04666,2758247.43695,5762745.2837,1083704.28904,"Ministério da Saúde",16355640
"98","Anexo II","36000","MINISTERIO DA SAUDE",11,"2019",1787694.09718,375948.19193,17087783.14384,1467216.98886,5396744.53843,951622.26236,"Ministério da Saúde",17991204
"99","Anexo II","36000","MINISTERIO DA SAUDE",12,"2019",4628374.48029,742954.22408,21716157.62413,236153.098110004,2691354.7347,1273554.08752,"Ministério da Saúde",19626768
"100","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",2,"2019",3892.86177,2213.19349,6513.54046,98592.09034,23049.52859,2466.0978,"Controladoria-Geral da União",12235
"101","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",3,"2019",4978.37096,1860.1419,11491.91142,93717.7294,22452.06239,1497.07827,"Controladoria-Geral da União",18352
"102","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",4,"2019",8272.53777,2712.75303,19764.44919,32971.98612,47315.29177,2585.58945,"Controladoria-Geral da União",28547
"103","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",5,"2019",6235.76083,2165.48714,26000.21002,19290.17354,43328.78679,4163.51449,"Controladoria-Geral da União",38743
"104","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",6,"2019",5838.82308,1133.61885,31839.0331,17067.48278,37631.06938,3561.61957,"Controladoria-Geral da União",48938
"105","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",7,"2019",8014.40141,676.54543,39853.43451,15310.26471,32172.33819,931.18224,"Controladoria-Geral da União",59133
"106","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",8,"2019",4697.81144000001,857.57497,44551.24595,9257.46914,29900.17421,508.54832,"Controladoria-Geral da União",69329
"107","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",9,"2019",3651.78941,2302.43285,48203.03536,7474.66897,27497.28358,699.37088,"Controladoria-Geral da União",79524
"108","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",10,"2019",4019.1789,3290.21053,52222.21426,18156.259,25666.71569,1012.25793,"Controladoria-Geral da União",89720
"109","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",11,"2019",6096.24391,3276.56437,58318.45817,6915.6001,35148.0054,803.73728,"Controladoria-Geral da União",99915
"110","Anexo II","37000","CONTROLADORIA-GERAL DA UNIAO",12,"2019",7215.40503,5825.63415,65533.8632,8009.10567,3143.84211,202.74632,"Controladoria-Geral da União",110111
"111","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",2,"2019",54974.81775,288098.34491,106685.47332,1777365.10836,502332.87628,41295.39512,"Ministério da Infraestrutura",208030
"112","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",3,"2019",86282.5051,180658.55886,192967.97842,1028661.22374,446285.54417,41105.29641,"Ministério da Infraestrutura",312045
"113","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",4,"2019",78522.92104,269466.15713,271490.89946,230047.60458,710707.20065,58315.01128,"Ministério da Infraestrutura",485403
"114","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",5,"2019",97364.21504,242305.01848,368855.1145,202446.60217,660149.47445,39868.37589,"Ministério da Infraestrutura",658761
"115","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",6,"2019",55995.01977,395728.68349,424850.13427,194946.86881,608888.06732,39172.60042,"Ministério da Infraestrutura",832119
"116","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",7,"2019",73108.2235,252573.40983,497958.35777,153453.94013,598735.73046,31314.44332,"Ministério da Infraestrutura",1005477
"117","Anexo II","39000","MINISTERIO DA INFRAESTRUTURA",8,"2019",61971.65033,198216.59881,559930.0081,174958.16577,548108.12388,31472.37247,"Ministério da Infraestrutura",1178835
